,image,xmin,ymin,xmax,ymax,class
31,AMD Part1/AMD (3)/Image (30).png,177,301,193,325,Softdrusen
32,AMD Part1/AMD (3)/Image (30).png,196,290,218,327,Softdrusen
33,AMD Part1/AMD (3)/Image (30).png,228,292,252,329,Softdrusen
34,AMD Part1/AMD (3)/Image (30).png,258,290,291,324,Softdrusen
35,AMD Part1/AMD (3)/Image (30).png,303,294,327,316,Softdrusen
36,AMD Part1/AMD (3)/Image (30).png,351,290,369,310,Softdrusen
37,AMD Part1/AMD (3)/Image (30).png,372,289,388,308,Softdrusen
38,AMD Part1/AMD (3)/Image (30).png,162,311,172,321,Softdrusen
39,AMD Part1/AMD (3)/Image (35).png,234,275,286,325,Softdrusen
40,AMD Part1/AMD (3)/Image (35).png,295,300,305,316,Softdrusen
41,AMD Part1/AMD (3)/Image (38).png,253,294,274,319,Softdrusen
42,AMD Part1/AMD (5)/Image (20).png,182,301,244,352,Softdrusen
43,AMD Part1/AMD (5)/Image (20).png,250,321,263,341,Softdrusen
44,AMD Part1/AMD (5)/Image (20).png,279,315,298,339,Softdrusen
45,AMD Part1/AMD (5)/Image (20).png,339,312,357,330,Softdrusen
46,AMD Part1/AMD (5)/Image (20).png,305,312,333,340,PRlayerdisruption
47,AMD Part1/AMD (5)/Image (20).png,362,303,372,322,PRlayerdisruption
48,AMD Part1/AMD (5)/Image (22).png,241,313,281,338,PRlayerdisruption
49,AMD Part1/AMD (5)/Image (22).png,286,294,372,344,Softdrusen
50,AMD Part1/AMD (5)/Image (22).png,199,327,216,343,Harddrusen
51,AMD Part1/AMD (5)/Image (22).png,126,338,138,350,Harddrusen
52,AMD Part1/AMD (5)/Image (22).png,148,338,159,349,Harddrusen
53,AMD Part1/AMD (5)/Image (22).png,223,324,241,343,Harddrusen
54,AMD Part1/AMD (5)/Image (22).png,140,286,190,309,Fluid
55,AMD Part1/AMD (5)/Image (23).png,390,310,403,320,Harddrusen
56,AMD Part1/AMD (5)/Image (23).png,278,299,370,340,Softdrusen
57,AMD Part1/AMD (5)/Image (23).png,241,311,279,350,Softdrusen
58,AMD Part1/AMD (5)/Image (23).png,195,323,227,352,Softdrusen
59,AMD Part1/AMD (5)/Image (23).png,229,323,239,344,PRlayerdisruption
60,AMD Part1/AMD (5)/Image (23).png,236,242,289,270,Fluid
61,AMD Part1/AMD (5)/Image (25).png,261,243,271,254,Fluid
62,AMD Part1/AMD (5)/Image (25).png,338,231,356,259,Fluid
63,AMD Part1/AMD (5)/Image (25).png,278,273,297,293,Hyperfluorescentspots
64,AMD Part1/AMD (5)/Image (25).png,155,289,238,309,Fluid
65,AMD Part1/AMD (5)/Image (25).png,134,333,146,345,Harddrusen
66,AMD Part1/AMD (5)/Image (25).png,393,311,407,321,Harddrusen
67,AMD Part1/AMD (5)/Image (25).png,408,311,419,321,Harddrusen
68,AMD Part1/AMD (5)/Image (25).png,342,312,382,332,Softdrusen
69,AMD Part1/AMD (5)/Image (25).png,261,292,329,339,Softdrusen
70,AMD Part1/AMD (5)/Image (25).png,203,315,241,346,Softdrusen
71,AMD Part1/AMD (5)/Image (25).png,180,326,201,349,Softdrusen
72,AMD Part1/AMD (5)/Image (26).png,205,258,249,286,Fluid
73,AMD Part1/AMD (5)/Image (26).png,370,269,380,280,Fluid
74,AMD Part1/AMD (5)/Image (26).png,116,334,128,348,Harddrusen
75,AMD Part1/AMD (5)/Image (26).png,414,309,441,319,Harddrusen
76,AMD Part1/AMD (5)/Image (26).png,241,328,252,345,Harddrusen
77,AMD Part1/AMD (5)/Image (26).png,170,322,207,349,Harddrusen
78,AMD Part1/AMD (5)/Image (26).png,216,325,226,345,Harddrusen
79,AMD Part1/AMD (5)/Image (26).png,268,293,330,346,Softdrusen
80,AMD Part1/AMD (5)/Image (26).png,297,278,319,293,Hyperfluorescentspots
81,AMD Part1/AMD (5)/Image (26).png,389,311,410,324,Softdrusen
82,AMD Part1/AMD (5)/Image (26).png,259,323,269,345,Softdrusen
83,AMD Part1/AMD (5)/Image (27).png,150,311,210,349,Softdrusen
84,AMD Part1/AMD (5)/Image (27).png,283,299,329,344,Softdrusen
85,AMD Part1/AMD (5)/Image (27).png,340,315,358,338,Softdrusen
86,AMD Part1/AMD (5)/Image (27).png,365,315,379,333,Softdrusen
87,AMD Part1/AMD (5)/Image (27).png,393,306,412,324,Softdrusen
88,AMD Part1/AMD (5)/Image (27).png,216,323,278,339,PRlayerdisruption
89,AMD Part1/AMD (5)/Image (28).png,145,326,168,345,Softdrusen
90,AMD Part1/AMD (5)/Image (28).png,185,326,196,346,Softdrusen
91,AMD Part1/AMD (5)/Image (28).png,246,317,279,345,Softdrusen
92,AMD Part1/AMD (5)/Image (28).png,285,319,306,346,Softdrusen
93,AMD Part1/AMD (5)/Image (28).png,201,318,243,339,PRlayerdisruption
94,AMD Part1/AMD (5)/Image (29).png,137,323,155,345,Softdrusen
95,AMD Part1/AMD (5)/Image (29).png,161,324,179,345,Softdrusen
96,AMD Part1/AMD (5)/Image (29).png,193,321,219,345,Softdrusen
97,AMD Part1/AMD (5)/Image (29).png,224,317,246,348,Softdrusen
98,AMD Part1/AMD (5)/Image (29).png,251,309,297,344,Softdrusen
99,AMD Part1/AMD (5)/Image (29).png,299,314,322,339,Softdrusen
100,AMD Part1/AMD (5)/Image (29).png,326,311,361,331,PRlayerdisruption
101,AMD Part1/AMD (5)/Image (29).png,183,318,193,338,PRlayerdisruption
102,AMD Part1/AMD (5)/Image (30).png,332,307,356,327,PRlayerdisruption
103,AMD Part1/AMD (5)/Image (30).png,314,309,334,321,PRlayerdisruption
104,AMD Part1/AMD (5)/Image (30).png,278,312,290,325,PRlayerdisruption
105,AMD Part1/AMD (5)/Image (30).png,189,313,220,348,Softdrusen
106,AMD Part1/AMD (5)/Image (30).png,225,314,245,347,Softdrusen
107,AMD Part1/AMD (5)/Image (30).png,251,314,272,344,Softdrusen
108,AMD Part1/AMD (5)/Image (30).png,290,314,311,346,Softdrusen
109,AMD Part1/AMD (5)/Image (30).png,361,308,384,332,Softdrusen
110,AMD Part1/AMD (5)/Image (30).png,477,289,499,299,PRlayerdisruption
111,AMD Part1/AMD (6)/Image (6).png,438,369,447,386,Harddrusen
112,AMD Part1/AMD (6)/Image (6).png,319,379,324,399,Harddrusen
113,AMD Part1/AMD (6)/Image (6).png,166,373,208,392,PRlayerdisruption
114,AMD Part1/AMD (6)/Image (6).png,237,381,248,395,PRlayerdisruption
115,AMD Part1/AMD (6)/Image (6).png,311,384,317,395,PRlayerdisruption
116,AMD Part1/AMD (6)/Image (6).png,94,359,104,376,PRlayerdisruption
117,AMD Part1/AMD (6)/Image (6).png,134,370,141,383,PRlayerdisruption
118,AMD Part1/AMD (6)/Image (6).png,153,367,169,391,PRlayerdisruption
119,AMD Part1/AMD (6)/Image (6).png,268,381,273,394,PRlayerdisruption
120,AMD Part1/AMD (6)/Image (6).png,253,380,258,396,PRlayerdisruption
121,AMD Part1/AMD (6)/Image (6).png,282,383,286,394,PRlayerdisruption
122,AMD Part1/AMD (6)/Image (6).png,212,380,224,393,PRlayerdisruption
123,AMD Part1/AMD (6)/Image (8).png,394,375,400,387,PRlayerdisruption
124,AMD Part1/AMD (6)/Image (8).png,420,375,426,388,PRlayerdisruption
125,AMD Part1/AMD (6)/Image (8).png,440,371,444,382,PRlayerdisruption
126,AMD Part1/AMD (6)/Image (8).png,280,382,295,397,PRlayerdisruption
127,AMD Part1/AMD (6)/Image (8).png,37,354,53,370,Harddrusen
128,AMD Part1/AMD (6)/Image (8).png,54,359,66,372,Harddrusen
129,AMD Part1/AMD (6)/Image (8).png,18,352,32,367,Harddrusen
130,AMD Part1/AMD (6)/Image (8).png,170,376,180,389,Harddrusen
131,AMD Part1/AMD (6)/Image (8).png,186,378,194,392,Harddrusen
132,AMD Part1/AMD (6)/Image (10).png,228,378,234,396,PRlayerdisruption
133,AMD Part1/AMD (6)/Image (10).png,288,383,358,398,PRlayerdisruption
134,AMD Part1/AMD (6)/Image (10).png,450,372,460,382,PRlayerdisruption
135,AMD Part1/AMD (6)/Image (10).png,344,374,350,404,Harddrusen
136,AMD Part1/AMD (6)/Image (10).png,307,383,316,410,Harddrusen
137,AMD Part1/AMD (6)/Image (10).png,178,375,186,391,Harddrusen
138,AMD Part1/AMD (6)/Image (10).png,386,374,392,393,Harddrusen
139,AMD Part1/AMD (6)/Image (11).png,258,381,266,407,Reticulardrusen
140,AMD Part1/AMD (6)/Image (11).png,283,381,295,404,Reticulardrusen
141,AMD Part1/AMD (6)/Image (11).png,313,378,320,404,Reticulardrusen
142,AMD Part1/AMD (6)/Image (11).png,155,372,164,392,PRlayerdisruption
143,AMD Part1/AMD (6)/Image (11).png,81,359,88,382,PRlayerdisruption
144,AMD Part1/AMD (6)/Image (11).png,137,370,144,393,PRlayerdisruption
145,AMD Part1/AMD (6)/Image (11).png,196,375,204,393,PRlayerdisruption
146,AMD Part1/AMD (6)/Image (11).png,330,379,340,398,PRlayerdisruption
147,AMD Part1/AMD (6)/Image (11).png,410,367,417,390,PRlayerdisruption
148,AMD Part1/AMD (6)/Image (11).png,371,375,376,394,PRlayerdisruption
149,AMD Part1/AMD (6)/Image (13).png,164,374,176,392,PRlayerdisruption
150,AMD Part1/AMD (6)/Image (13).png,94,366,106,387,PRlayerdisruption
151,AMD Part1/AMD (6)/Image (13).png,114,367,118,387,PRlayerdisruption
152,AMD Part1/AMD (6)/Image (13).png,358,372,366,390,PRlayerdisruption
153,AMD Part1/AMD (6)/Image (13).png,400,370,408,389,PRlayerdisruption
154,AMD Part1/AMD (6)/Image (16).png,242,379,260,398,PRlayerdisruption
155,AMD Part1/AMD (6)/Image (16).png,42,362,57,379,PRlayerdisruption
156,AMD Part1/AMD (6)/Image (16).png,340,378,350,393,PRlayerdisruption
157,AMD Part1/AMD (6)/Image (16).png,368,378,374,393,PRlayerdisruption
158,AMD Part1/AMD (6)/Image (16).png,399,367,404,387,PRlayerdisruption
159,AMD Part1/AMD (6)/Image (16).png,406,360,413,388,Harddrusen
160,AMD Part1/AMD (6)/Image (16).png,139,367,147,393,Harddrusen
161,AMD Part1/AMD (6)/Image (16).png,284,375,290,398,PRlayerdisruption
162,AMD Part1/AMD (6)/Image (20).png,348,372,358,394,Harddrusen
163,AMD Part1/AMD (6)/Image (20).png,248,382,256,398,PRlayerdisruption
164,AMD Part1/AMD (6)/Image (20).png,367,367,376,391,PRlayerdisruption
165,AMD Part1/AMD (6)/Image (20).png,390,362,394,389,PRlayerdisruption
166,AMD Part1/AMD (6)/Image (20).png,480,358,489,379,PRlayerdisruption
167,AMD Part1/AMD (6)/Image (20).png,76,367,93,386,PRlayerdisruption
168,AMD Part1/AMD (6)/Image (23).png,54,365,62,392,Harddrusen
169,AMD Part1/AMD (6)/Image (23).png,126,375,135,398,Harddrusen
170,AMD Part1/AMD (6)/Image (23).png,144,376,154,398,Harddrusen
171,AMD Part1/AMD (6)/Image (23).png,158,374,166,399,Harddrusen
172,AMD Part1/AMD (6)/Image (23).png,168,375,176,397,Harddrusen
173,AMD Part1/AMD (6)/Image (23).png,330,371,338,394,Harddrusen
174,AMD Part1/AMD (6)/Image (23).png,313,374,324,390,PRlayerdisruption
175,AMD Part1/AMD (6)/Image (23).png,473,350,482,374,Harddrusen
176,AMD Part1/AMD (6)/Image (23).png,215,383,228,398,PRlayerdisruption
177,AMD Part1/AMD (6)/Image (23).png,392,358,400,379,PRlayerdisruption
178,AMD Part1/AMD (6)/Image (29).png,270,371,276,393,Harddrusen
179,AMD Part1/AMD (6)/Image (29).png,303,371,310,391,Harddrusen
180,AMD Part1/AMD (6)/Image (29).png,312,369,319,389,Harddrusen
181,AMD Part1/AMD (6)/Image (29).png,338,369,344,384,PRlayerdisruption
182,AMD Part1/AMD (6)/Image (29).png,356,365,362,385,PRlayerdisruption
183,AMD Part1/AMD (6)/Image (29).png,400,360,405,381,PRlayerdisruption
184,AMD Part1/AMD (6)/Image (29).png,252,379,257,393,PRlayerdisruption
185,AMD Part1/AMD (6)/Image (30).png,294,373,312,387,PRlayerdisruption
186,AMD Part1/AMD (6)/Image (30).png,322,371,346,385,PRlayerdisruption
187,AMD Part1/AMD (6)/Image (30).png,226,380,250,393,PRlayerdisruption
188,AMD Part1/AMD (6)/Image (31).png,388,357,394,375,Harddrusen
189,AMD Part1/AMD (6)/Image (31).png,423,354,429,370,Harddrusen
190,AMD Part1/AMD (6)/Image (31).png,450,355,454,366,Harddrusen
191,AMD Part1/AMD (6)/Image (31).png,250,377,260,389,PRlayerdisruption
192,AMD Part1/AMD (6)/Image (31).png,306,372,311,386,PRlayerdisruption
193,AMD Part1/AMD (6)/Image (32).png,211,375,217,395,Harddrusen
194,AMD Part1/AMD (6)/Image (32).png,295,375,302,388,Harddrusen
195,AMD Part1/AMD (6)/Image (32).png,418,362,428,376,Harddrusen
196,AMD Part1/AMD (6)/Image (32).png,414,344,420,357,Hyperfluorescentspots
197,AMD Part1/AMD (7)/Image (3).png,315,210,328,226,PRlayerdisruption
198,AMD Part1/AMD (7)/Image (3).png,50,174,60,185,PRlayerdisruption
199,AMD Part1/AMD (7)/Image (3).png,73,181,83,191,PRlayerdisruption
200,AMD Part1/AMD (7)/Image (3).png,106,191,116,201,PRlayerdisruption
201,AMD Part1/AMD (7)/Image (3).png,146,196,156,206,PRlayerdisruption
202,AMD Part1/AMD (7)/Image (3).png,185,205,204,221,Harddrusen
203,AMD Part1/AMD (7)/Image (3).png,156,203,180,216,Harddrusen
204,AMD Part1/AMD (7)/Image (3).png,131,197,141,207,Harddrusen
205,AMD Part1/AMD (7)/Image (3).png,108,199,119,210,Harddrusen
206,AMD Part1/AMD (7)/Image (3).png,71,191,91,201,Harddrusen
207,AMD Part1/AMD (7)/Image (3).png,229,213,242,225,Harddrusen
208,AMD Part1/AMD (7)/Image (3).png,217,213,227,225,Harddrusen
209,AMD Part1/AMD (7)/Image (3).png,253,215,264,225,Harddrusen
210,AMD Part1/AMD (7)/Image (3).png,280,217,313,227,Harddrusen
211,AMD Part1/AMD (7)/Image (3).png,350,221,363,231,Harddrusen
212,AMD Part1/AMD (7)/Image (3).png,337,221,349,231,Harddrusen
213,AMD Part1/AMD (7)/Image (3).png,428,210,438,223,Harddrusen
214,AMD Part1/AMD (7)/Image (3).png,482,212,504,222,Harddrusen
215,AMD Part1/AMD (7)/Image (5).png,210,209,226,227,PRlayerdisruption
216,AMD Part1/AMD (7)/Image (5).png,277,211,287,221,PRlayerdisruption
217,AMD Part1/AMD (7)/Image (5).png,340,213,356,232,Harddrusen
218,AMD Part1/AMD (7)/Image (5).png,384,207,394,226,Harddrusen
219,AMD Part1/AMD (7)/Image (5).png,434,204,444,216,PRlayerdisruption
220,AMD Part1/AMD (7)/Image (5).png,13,168,24,184,Harddrusen
221,AMD Part1/AMD (7)/Image (5).png,39,175,54,186,PRlayerdisruption
222,AMD Part1/AMD (7)/Image (5).png,67,181,78,191,PRlayerdisruption
223,AMD Part1/AMD (7)/Image (5).png,237,210,247,222,Harddrusen
224,AMD Part1/AMD (7)/Image (7).png,56,181,67,192,PRlayerdisruption
225,AMD Part1/AMD (7)/Image (7).png,207,207,217,220,PRlayerdisruption
226,AMD Part1/AMD (7)/Image (7).png,290,213,300,223,PRlayerdisruption
227,AMD Part1/AMD (7)/Image (7).png,36,180,48,192,Harddrusen
228,AMD Part1/AMD (7)/Image (7).png,255,215,265,227,PRlayerdisruption
229,AMD Part1/AMD (7)/Image (7).png,158,207,169,218,Harddrusen
230,AMD Part1/AMD (7)/Image (7).png,134,204,144,216,Harddrusen
231,AMD Part1/AMD (7)/Image (7).png,214,211,226,224,Harddrusen
232,AMD Part1/AMD (7)/Image (7).png,234,213,250,227,PRlayerdisruption
233,AMD Part1/AMD (7)/Image (7).png,299,213,318,229,Harddrusen
234,AMD Part1/AMD (7)/Image (9).png,23,181,34,193,PRlayerdisruption
235,AMD Part1/AMD (7)/Image (9).png,70,194,96,211,Harddrusen
236,AMD Part1/AMD (7)/Image (9).png,131,197,141,216,Harddrusen
237,AMD Part1/AMD (7)/Image (9).png,139,205,150,217,Harddrusen
238,AMD Part1/AMD (7)/Image (9).png,153,195,163,219,Reticulardrusen
239,AMD Part1/AMD (7)/Image (9).png,186,198,197,225,Reticulardrusen
240,AMD Part1/AMD (7)/Image (9).png,166,203,176,219,Reticulardrusen
241,AMD Part1/AMD (7)/Image (9).png,288,209,300,230,Reticulardrusen
242,AMD Part1/AMD (7)/Image (9).png,241,214,262,229,PRlayerdisruption
243,AMD Part1/AMD (7)/Image (9).png,74,186,84,198,PRlayerdisruption
244,AMD Part1/AMD (7)/Image (9).png,436,211,452,222,Harddrusen
245,AMD Part1/AMD (7)/Image (9).png,207,215,218,226,Harddrusen
246,AMD Part1/AMD (7)/Image (9).png,319,223,332,235,Harddrusen
247,AMD Part1/AMD (7)/Image (9).png,338,221,351,231,Harddrusen
248,AMD Part1/AMD (7)/Image (10).png,340,213,351,228,PRlayerdisruption
249,AMD Part1/AMD (7)/Image (10).png,283,210,294,232,Reticulardrusen
250,AMD Part1/AMD (7)/Image (10).png,301,211,313,229,Reticulardrusen
251,AMD Part1/AMD (7)/Image (10).png,146,204,169,218,Harddrusen
252,AMD Part1/AMD (7)/Image (10).png,438,209,452,222,Harddrusen
253,AMD Part1/AMD (7)/Image (10).png,210,214,232,226,Harddrusen
254,AMD Part1/AMD (7)/Image (10).png,166,211,186,221,Harddrusen
255,AMD Part1/AMD (7)/Image (10).png,79,191,107,214,PRlayerdisruption
256,AMD Part1/AMD (7)/Image (12).png,63,190,83,211,PRlayerdisruption
257,AMD Part1/AMD (7)/Image (12).png,307,213,337,228,PRlayerdisruption
258,AMD Part1/AMD (7)/Image (12).png,178,206,193,224,PRlayerdisruption
259,AMD Part1/AMD (7)/Image (12).png,129,193,145,220,Reticulardrusen
260,AMD Part1/AMD (7)/Image (12).png,155,194,168,227,Reticulardrusen
261,AMD Part1/AMD (7)/Image (12).png,370,205,382,226,Reticulardrusen
262,AMD Part1/AMD (7)/Image (12).png,393,202,405,227,Reticulardrusen
263,AMD Part1/AMD (7)/Image (12).png,429,206,443,223,Reticulardrusen
264,AMD Part1/AMD (7)/Image (12).png,8,183,28,197,Reticulardrusen
265,AMD Part1/AMD (7)/Image (14).png,139,200,151,221,Reticulardrusen
266,AMD Part1/AMD (7)/Image (14).png,302,216,314,228,Reticulardrusen
267,AMD Part1/AMD (7)/Image (14).png,325,204,338,228,Reticulardrusen
268,AMD Part1/AMD (7)/Image (14).png,343,202,353,229,Reticulardrusen
269,AMD Part1/AMD (7)/Image (14).png,408,209,421,224,Reticulardrusen
270,AMD Part1/AMD (7)/Image (14).png,114,199,130,221,Reticulardrusen
271,AMD Part1/AMD (7)/Image (14).png,93,198,106,218,Reticulardrusen
272,AMD Part1/AMD (7)/Image (14).png,54,194,80,210,Harddrusen
273,AMD Part1/AMD (7)/Image (14).png,424,209,441,222,Harddrusen
274,AMD Part1/AMD (7)/Image (16).png,234,210,268,235,PRlayerdisruption
275,AMD Part1/AMD (7)/Image (16).png,376,202,389,230,Reticulardrusen
276,AMD Part1/AMD (7)/Image (16).png,410,200,422,223,Reticulardrusen
277,AMD Part1/AMD (7)/Image (16).png,323,211,335,233,Reticulardrusen
278,AMD Part1/AMD (7)/Image (16).png,199,211,225,225,Harddrusen
279,AMD Part1/AMD (7)/Image (16).png,198,225,232,243,Geographicatrophy
280,AMD Part1/AMD (7)/Image (16).png,466,201,479,217,PRlayerdisruption
281,AMD Part1/AMD (7)/Image (16).png,276,207,287,228,PRlayerdisruption
282,AMD Part1/AMD (7)/Image (16).png,37,188,53,203,PRlayerdisruption
283,AMD Part1/AMD (7)/Image (17).png,211,209,249,228,PRlayerdisruption
284,AMD Part1/AMD (7)/Image (17).png,136,197,150,225,Reticulardrusen
285,AMD Part1/AMD (7)/Image (17).png,116,198,126,221,Reticulardrusen
286,AMD Part1/AMD (7)/Image (17).png,91,195,106,220,Reticulardrusen
287,AMD Part1/AMD (7)/Image (17).png,236,218,276,238,Softdrusen
288,AMD Part1/AMD (7)/Image (17).png,285,213,301,238,Softdrusen
289,AMD Part1/AMD (7)/Image (17).png,311,212,328,237,Softdrusen
290,AMD Part1/AMD (7)/Image (17).png,328,212,345,236,Softdrusen
291,AMD Part1/AMD (7)/Image (17).png,400,202,412,213,PRlayerdisruption
292,AMD Part1/AMD (7)/Image (17).png,424,199,434,216,PRlayerdisruption
293,AMD Part1/AMD (7)/Image (17).png,440,200,450,217,PRlayerdisruption
294,AMD Part1/AMD (7)/Image (17).png,455,198,465,218,PRlayerdisruption
295,AMD Part1/AMD (7)/Image (18).png,225,211,268,241,Softdrusen
296,AMD Part1/AMD (7)/Image (18).png,391,204,468,225,Harddrusen
297,AMD Part1/AMD (7)/Image (18).png,146,201,156,224,Reticulardrusen
298,AMD Part1/AMD (7)/Image (18).png,127,200,140,221,Reticulardrusen
299,AMD Part1/AMD (7)/Image (18).png,90,203,108,219,Reticulardrusen
300,AMD Part1/AMD (7)/Image (18).png,339,209,352,224,Reticulardrusen
301,AMD Part1/AMD (7)/Image (18).png,361,199,371,228,Reticulardrusen
302,AMD Part1/AMD (7)/Image (20).png,334,201,352,225,Reticulardrusen
303,AMD Part1/AMD (7)/Image (20).png,364,200,384,229,Reticulardrusen
304,AMD Part1/AMD (7)/Image (20).png,253,215,269,238,Softdrusen
305,AMD Part1/AMD (7)/Image (20).png,294,215,318,231,Softdrusen
306,AMD Part1/AMD (7)/Image (20).png,129,201,148,223,PRlayerdisruption
307,AMD Part1/AMD (7)/Image (20).png,61,191,72,210,PRlayerdisruption
308,AMD Part1/AMD (7)/Image (20).png,320,204,331,232,PRlayerdisruption
309,AMD Part1/AMD (7)/Image (22).png,142,206,152,221,Harddrusen
310,AMD Part1/AMD (7)/Image (22).png,127,206,137,222,Harddrusen
311,AMD Part1/AMD (7)/Image (22).png,103,206,120,222,Harddrusen
312,AMD Part1/AMD (7)/Image (22).png,277,215,288,231,Harddrusen
313,AMD Part1/AMD (7)/Image (22).png,302,213,317,228,Harddrusen
314,AMD Part1/AMD (7)/Image (22).png,318,211,331,226,Harddrusen
315,AMD Part1/AMD (7)/Image (22).png,389,197,400,216,Harddrusen
316,AMD Part1/AMD (7)/Image (22).png,191,214,204,225,PRlayerdisruption
317,AMD Part1/AMD (7)/Image (22).png,156,207,166,221,PRlayerdisruption
318,AMD Part1/AMD (7)/Image (22).png,73,198,83,210,PRlayerdisruption
319,AMD Part1/AMD (7)/Image (24).png,132,201,144,224,Reticulardrusen
320,AMD Part1/AMD (7)/Image (24).png,150,204,160,221,Reticulardrusen
321,AMD Part1/AMD (7)/Image (24).png,165,210,178,226,Reticulardrusen
322,AMD Part1/AMD (7)/Image (24).png,186,210,196,227,Reticulardrusen
323,AMD Part1/AMD (7)/Image (24).png,219,209,231,229,Reticulardrusen
324,AMD Part1/AMD (7)/Image (24).png,244,214,254,227,Reticulardrusen
325,AMD Part1/AMD (7)/Image (24).png,283,205,296,228,Reticulardrusen
326,AMD Part1/AMD (7)/Image (24).png,313,205,327,226,Reticulardrusen
327,AMD Part1/AMD (7)/Image (24).png,334,203,346,222,Reticulardrusen
328,AMD Part1/AMD (7)/Image (24).png,123,202,133,214,Reticulardrusen
329,AMD Part1/AMD (7)/Image (24).png,354,207,366,218,PRlayerdisruption
330,AMD Part1/AMD (7)/Image (26).png,261,210,280,233,Harddrusen
331,AMD Part1/AMD (7)/Image (26).png,292,205,305,226,Harddrusen
332,AMD Part1/AMD (7)/Image (26).png,333,209,343,225,Harddrusen
333,AMD Part1/AMD (7)/Image (26).png,433,205,443,216,Harddrusen
334,AMD Part1/AMD (7)/Image (26).png,455,200,473,211,Harddrusen
335,AMD Part1/AMD (7)/Image (26).png,230,209,241,229,Harddrusen
336,AMD Part1/AMD (7)/Image (26).png,204,213,214,228,Harddrusen
337,AMD Part1/AMD (7)/Image (26).png,157,214,167,226,Harddrusen
338,AMD Part1/AMD (7)/Image (26).png,108,207,135,223,Harddrusen
339,AMD Part1/AMD (7)/Image (26).png,346,187,358,200,Hyperfluorescentspots
340,AMD Part1/AMD (7)/Image (26).png,57,197,67,207,PRlayerdisruption
341,AMD Part1/AMD (7)/Image (26).png,355,210,365,220,PRlayerdisruption
342,AMD Part1/AMD (7)/Image (27).png,265,202,277,223,Reticulardrusen
343,AMD Part1/AMD (7)/Image (27).png,298,199,308,220,Reticulardrusen
344,AMD Part1/AMD (7)/Image (27).png,313,196,323,223,Reticulardrusen
345,AMD Part1/AMD (7)/Image (27).png,191,201,201,225,Reticulardrusen
346,AMD Part1/AMD (7)/Image (27).png,360,205,379,216,PRlayerdisruption
347,AMD Part1/AMD (7)/Image (27).png,110,203,120,214,PRlayerdisruption
348,AMD Part1/AMD (7)/Image (27).png,147,207,159,218,PRlayerdisruption
349,AMD Part1/AMD (7)/Image (27).png,239,211,256,221,PRlayerdisruption
350,AMD Part1/AMD (7)/Image (27).png,282,206,295,227,Harddrusen
351,AMD Part1/AMD (7)/Image (27).png,34,194,45,204,PRlayerdisruption
352,AMD Part1/AMD (8)/Image (9).png,191,195,201,205,PRlayerdisruption
353,AMD Part1/AMD (8)/Image (9).png,202,196,212,206,PRlayerdisruption
354,AMD Part1/AMD (8)/Image (9).png,243,199,253,210,PRlayerdisruption
